id,question,expected_answer,user_answer
73f3b6ac-1f06-49c8-afea-dbd7d3cf4750,What is the purpose of the California Emission Control Warranty?,To cover vehicles equipped with a California Certified Emission Control System that are registered and operated in California or any state that adopts California emission warranty provisions,I don't know.
b3e7ddd0-2cf5-47da-b0f0-aef38376cb2c,What is the coverage period for the Emission Performance Warranty under federal regulations?,"Two years or 24,000 miles from the vehicle’s in-service date, whichever occurs first",I don't know.
407fe402-96ac-4a53-8a24-5f6d360cbc3c,At what intervals should the engine oil and oil filter be replaced in a Toyota vehicle certified for 0W-20 motor oil under normal conditions?,"10,000 miles or 12 months",I don't know.
209128b1-be5a-481d-9cf6-d50887181cf5,What does the Powertrain Warranty for a 2023 Toyota vehicle cover?,"Repairs needed to correct defects in materials or workmanship of any component listed in the Powertrain Warranty section, subject to certain exceptions",I don't know.
f95881c2-51b0-4cef-937f-84ed3c1bfd7e,"What maintenance actions are suggested at 60,000 miles or 72 months for vehicles used under normal driving conditions?","Add Toyota EFI Tank Additive or equivalent (Hawaii only), check installation of driver’s floor mat, inspect and adjust all fluid levels, inspect wiper blades, replace cabin air filter, replace engine air filter, replace engine oil and oil filter, re-torque propeller shaft bolt, rotate tires, and inspect various components including automatic transmission fluid cooler hoses and connections, ball joints and dust covers, brake lines and hoses, brake linings/drums and brake pads/discs, drive belts, drive shaft boots (4WD), engine coolant, exhaust pipes and mountings, front differential oil (4WD), fuel lines and connections, fuel tank cap gasket, intercooler coolant, radiator, condenser and/or intercooler, rear differential oil, steering gear, steering linkage and boots, and transfer case oil (4WD).",I don't know.
9977dfde-f106-46b2-bd93-c2fba79ba2cc,What should be inspected or replaced at specified intervals to prevent leakage in a Toyota vehicle?,"Automatic Transmission Fluid, Front and Rear Differential Oil, Transfer Case Oil",I don't know.
18b06be8-5cbe-4b6b-ad7c-42a1f41440ca,What is the recommended maintenance interval for Toyota vehicles according to the guide?,"Every 5,000 miles or six months, whichever comes first.",I don't know.
845cf83e-d2db-4448-b1a2-d63d392efad0,At what mileage or month interval is it recommended to replace the spark plugs?,"At 40,000 miles or 48 months.",I don't know.
68648b3f-cd0c-43ac-9f64-ff9159b6efaf,"What maintenance item should be performed by a qualified technician and involves checking for cracks, deterioration, and damage?",Drive Shaft Boots inspection,I don't know.
6d344d34-190e-432a-b467-776541eef580,"What should be done if a Toyota vehicle is driven under special operating conditions such as on dirt roads or dusty roads at 10,000 miles or 12 months?","Inspect ball joints and dust covers, inspect drive shaft boots (4WD), inspect engine air filter, inspect steering linkage and boots, re-torque propeller shaft bolt, and tighten nuts and bolts on chassis and body.",I don't know.
3b95b203-a42e-49b6-a1da-4fa6cfba1b55,"What should be visually inspected for proper installation, chafing, cracks, deterioration, and signs of leakage in a Toyota vehicle?",Brake Lines and Hoses,I don't know.
85e757e1-797a-4ecd-9a86-16e152c4627b,"What additional maintenance item is recommended at 30,000 miles or 36 months for vehicles driven while towing, using a car-top carrier, or under heavy vehicle loading?","Replace front differential oil (4WD), replace rear differential oil, replace transfer case oil (4WD), and tighten nuts and bolts on chassis and body.",I don't know.
9b104732-d944-4078-905f-74c325d65ce5,What additional maintenance item is recommended for Toyota vehicles driven under special operating conditions such as towing or heavy loading?,"Replace front differential oil (4WD), Replace rear differential oil, Replace transfer case oil (4WD), Tighten nuts and bolts on chassis and body",I don't know.
61f2db92-3384-4e2f-a9b8-f13b14ec40c6,For how long does the Corrosion Perforation Warranty provide coverage?,"60 months, regardless of mileage",I don't know.
d541a808-0f90-430b-85cc-0c6e4b0ca403,What is the duration of the Basic Warranty coverage for a 2023 Toyota vehicle?,"36 months or 36,000 miles, whichever occurs first",I don't know.
195234c5-8dfb-49f9-b0b2-0d0e5fb5845b,What is the recommended interval for replacing the engine oil and oil filter if 0W-20 motor oil is being used?,"10,000 miles or 12 months",I don't know.
dfd40d39-4ef6-4185-94ed-cca4a569e22a,What is the recommended solution if potassium hydroxide electrolyte from the hybrid vehicle battery gets on your skin or in your eyes?,Neutralize it immediately with a saturated boric acid solution (ratio: 80 grams boric acid to two liters water) and seek immediate medical attention.,I don't know.
38b0c86e-1e43-4188-9834-36bcae6ec51e,What should be done if a Toyota vehicle requires emergency repairs and there is no Toyota dealership reasonably available?,"If the vehicle requires emergency repairs and no Toyota dealership is reasonably available, the repairs may be performed by the vehicle owner or another automotive service provider. Toyota will reimburse for any of the repairs that are covered by warranty.",I don't know.
4057cef5-92c8-4dcb-8405-b67f5b2e34fa,What should you do if your Toyota vehicle fails an EPA-approved emissions test?,Take your vehicle to an authorized Toyota dealership and present a copy of the emissions test report along with your maintenance records.,I don't know.
f4b0e9a1-68f5-424d-8a80-6e3dcdd7e37d,What is recommended by Toyota to ensure optimum performance and maintain the quality of the vehicle's emission control systems?,Toyota recommends the use of Toyota Genuine Parts when servicing or repairing the vehicle's emission control systems.,I don't know.
1748e28d-384c-4407-b29f-a197c03fab8f,Can Toyota deny a warranty claim if the vehicle was maintained or repaired by a service provider other than a Toyota dealership?,"No, Toyota will not deny a warranty claim solely because a service provider other than a Toyota dealership was used for maintenance and repairs.",I don't know.
6b601480-50fc-4f8d-896c-70b82bf0070b,At what mileage is the initial replacement of the intercooler coolant recommended?,"100,000 miles or 120 months",I don't know.
2ce77d36-e3bd-438d-a7c0-68394e6032e6,What type of coolant is recommended for use in the vehicle according to the maintenance guide?,"Genuine Toyota Super Long-Life Coolant or similar high-quality non-silicate, non-amine, non-borate ethylene-glycol coolant with long-life hybrid organic acid technology",I don't know.
fe8a71aa-5ddc-41a2-b22b-b43febab30ad,How often does Toyota recommend obtaining scheduled maintenance for your vehicle?,"Toyota recommends obtaining scheduled maintenance for your vehicle every 5,000 miles or six months, whichever comes first.",I don't know.
26f571a6-1c9e-4e18-aa2a-cdc6bba0c832,What should be inspected or replaced at specified intervals to prevent leakage in the vehicle's transmission system?,"Automatic Transmission Fluid, Front and Rear Differential Oil, and Transfer Case Oil",I don't know.
e54fb13e-7234-4175-aa8a-761f5dac2dd4,"What should be done to the HV battery cooling intake filter every 5,000 miles?",Visually check the HV battery cooling intake filter for dirt or dust and clean if necessary,I don't know.
5b731e1e-475b-4fa5-92e1-7ee21754a3e6,What are the coverage terms for the California Emission Control Warranty for vehicles equipped with a California Certified Emission Control System?,Vehicles are covered by this warranty if they are registered and operated in California or any state that adopts California emission warranty provisions.,I don't know.
d130b1cb-de4b-466e-b470-2e4a3c7ced4b,For how long is towing service covered under the New Vehicle Limited Warranty if your Toyota is inoperable due to failure of a warranted part?,For the duration of the New Vehicle Limited Warranty.,I don't know.
2babf4b3-2148-4073-a25a-f5470dc220e3,What should you do if your vehicle fails a smog-check test?,"If your vehicle fails a smog-check test, you should take it to an authorized Toyota dealership and present a copy of the smog-check test report along with your maintenance records.",I don't know.
828c6e27-628d-43b4-98a8-eb0eace36f4c,How long is the Hybrid System Warranty effective for the Toyota Tundra i-Force Max?,"8 years or 100,000 miles from the vehicle’s in-service date, whichever occurs first.",I don't know.
